,leaid,math_score,rla_score
1443,3612630,91.0,91.0
1444,3613080,97.0,98.0
1445,3613290,97.0,97.0
1446,3613980,97.0,98.0
1447,3614010,89.0,96.0
1448,3614130,69.0,68.0
1449,3614280,98.0,98.0
1450,3614340,75.0,92.0
1451,3614460,96.0,97.0
1452,3615090,93.0,93.0
1453,3615570,95.0,95.0
1454,3616230,92.0,94.0
1455,3616260,94.0,98.0
1456,3616290,90.0,91.0
1457,3616620,96.0,97.0
1458,3617160,97.0,98.0
1459,3617380,87.0,97.0
1460,3617520,92.0,96.0
1461,3617670,92.0,95.0
1462,3617730,93.0,95.0
1463,3618120,95.0,97.0
1464,3618240,94.0,96.0
1465,3618630,97.0,98.0
1466,3618690,74.0,89.0
1467,3619020,98.0,98.0
1468,3619200,87.0,96.0
1469,3619230,89.0,96.0
1470,3619320,92.0,96.0
1471,3619560,94.0,94.0
1472,3619650,97.0,98.0
1473,3619680,93.0,95.0
1474,3619950,95.0,97.0
1475,3620100,77.0,82.0
1476,3620340,98.0,98.0
1477,3620490,86.0,91.0
1478,3620700,84.0,87.0
1479,3620820,87.0,93.0
1480,3620910,94.0,94.0
